,image_number,xmin,ymin,xmax,ymax,x_values_odo,y_values_odo,z_values_odo,x_center,y_center,width,height
87,44,1095,10,1280,720,2.216,1.513,0.638329,1187,365,185,710
88,45,301,1,769,680,2.219,1.527,0.645368,535,340,468,679
89,45,1113,4,1280,720,2.219,1.527,0.645368,1196,362,167,716
90,46,299,2,772,681,2.22,1.539,0.651773,535,341,473,679
91,47,287,1,776,679,2.222,1.547,0.659858,531,340,489,678
92,48,323,3,810,689,2.222,1.552,0.666728,566,346,487,686
93,49,359,1,854,688,2.222,1.554,0.672976,606,344,495,687
94,50,406,3,897,698,2.222,1.555,0.67749,651,350,491,695
95,51,439,1,923,698,2.222,1.555,0.684771,681,349,484,697
96,52,471,1,961,696,2.222,1.555,0.69088,716,348,490,695
97,53,508,1,993,705,2.222,1.555,0.698035,750,353,485,704
98,54,527,1,1022,707,2.222,1.555,0.704579,774,354,495,706
99,55,541,2,1036,714,2.222,1.557,0.707829,788,358,495,712
100,56,529,1,1033,715,2.222,1.562,0.708909,781,358,504,714
101,57,530,2,1032,719,2.222,1.571,0.710526,781,360,502,717
102,58,524,1,1036,714,2.222,1.583,0.709987,780,357,512,713
103,59,524,1,1041,720,2.222,1.598,0.710526,782,360,517,719
104,60,519,2,1036,720,2.222,1.616,0.709987,777,361,517,718
105,61,515,2,1046,720,2.222,1.636,0.710526,780,361,531,718
106,62,515,2,1055,720,2.221,1.656,0.709987,785,361,540,718
107,63,522,2,1065,720,2.221,1.676,0.709987,793,361,543,718
108,64,506,2,1070,720,2.221,1.696,0.710526,788,361,564,718
109,65,501,1,1069,720,2.221,1.715,0.709987,785,360,568,719
110,66,497,3,1078,720,2.221,1.735,0.709987,787,361,581,717
111,67,501,1,1078,720,2.22,1.755,0.709987,789,360,577,719
112,68,486,3,1086,720,2.22,1.775,0.710526,786,361,600,717
113,69,465,1,1092,720,2.22,1.795,0.709448,778,360,627,719
114,70,471,1,1093,720,2.22,1.815,0.709987,782,360,622,719
115,71,472,1,1101,718,2.22,1.835,0.709448,786,359,629,717
116,72,530,3,1183,720,2.219,1.855,0.709987,856,361,653,717
117,73,563,3,1234,720,2.219,1.875,0.709448,898,361,671,717
118,74,602,3,1274,720,2.219,1.895,0.709448,938,361,672,717
119,75,632,1,1280,720,2.219,1.915,0.709448,956,360,648,719
120,76,657,1,1280,720,2.219,1.934,0.711064,968,360,623,719
121,77,709,1,1280,720,2.218,1.954,0.709448,994,360,571,719
122,78,745,2,1280,720,2.218,1.972,0.713212,1012,361,535,718
123,79,781,1,1280,720,2.218,1.985,0.717488,1030,360,499,719
124,80,834,16,1280,720,2.217,1.997,0.725434,1057,368,446,704
125,81,876,1,1280,720,2.217,2.004,0.730156,1078,360,404,719
126,82,,,,,2.216,2.01,0.737948,0,0,0,0
127,83,,,,,2.216,2.017,0.74001,0,0,0,0
128,84,,,,,2.215,2.029,0.739495,0,0,0,0
129,85,1,29,221,552,2.213,2.042,0.737948,111,290,220,523
130,86,1,26,215,548,2.212,2.059,0.74001,108,287,214,522
131,87,1,16,242,560,2.21,2.079,0.739495,121,288,241,544
132,88,1,31,244,557,2.208,2.099,0.73898,122,294,243,526
133,89,1,46,203,566,2.206,2.118,0.739495,102,306,202,520
134,90,1,61,206,570,2.204,2.139,0.738464,103,315,205,509
135,91,1,62,201,579,2.202,2.158,0.741038,101,320,200,517
136,92,1,85,203,574,2.2,2.178,0.738464,102,329,202,489
137,93,1,104,199,584,2.199,2.198,0.73898,100,344,198,480
138,94,,,,,2.197,2.217,0.738464,0,0,0,0
139,95,1,188,165,581,2.195,2.237,0.74001,83,384,164,393
140,96,1,205,182,580,2.193,2.258,0.739495,91,392,181,375
141,97,1,198,159,595,2.191,2.277,0.73898,80,396,158,397
142,98,1,188,159,580,2.189,2.297,0.739495,80,384,158,392
143,99,,,,,2.187,2.317,0.73898,0,0,0,0
144,100,,,,,2.185,2.336,0.739495,0,0,0,0
145,101,,,,,2.183,2.356,0.739495,0,0,0,0
146,102,,,,,2.181,2.376,0.73898,0,0,0,0
147,103,,,,,2.179,2.396,0.739495,0,0,0,0
148,104,,,,,2.178,2.415,0.738464,0,0,0,0
149,105,,,,,2.176,2.435,0.739495,0,0,0,0
150,106,,,,,2.174,2.455,0.73898,0,0,0,0
151,107,,,,,2.172,2.475,0.73898,0,0,0,0
152,108,,,,,2.17,2.495,0.73898,0,0,0,0
153,109,,,,,2.168,2.515,0.739495,0,0,0,0
154,110,1,1,303,598,2.166,2.535,0.738464,152,299,302,597
155,111,1,1,360,598,2.164,2.555,0.740524,180,299,359,597
156,112,17,1,371,607,2.162,2.574,0.73898,194,304,354,606
157,113,49,1,399,606,2.16,2.594,0.739495,224,303,350,605
158,114,101,2,428,592,2.159,2.614,0.739495,264,297,327,590
159,115,117,1,464,609,2.157,2.634,0.738464,290,305,347,608
160,116,116,1,460,606,2.155,2.653,0.739495,288,303,344,605
161,117,117,1,472,610,2.153,2.673,0.73898,294,305,355,609
162,118,110,1,463,607,2.151,2.693,0.739495,286,304,353,606
163,119,99,1,460,599,2.149,2.713,0.739495,279,300,361,598
164,120,86,1,461,605,2.147,2.732,0.73898,273,303,375,604
165,121,,,,,2.145,2.752,0.73898,0,0,0,0
166,122,65,1,453,611,2.143,2.772,0.739495,259,306,388,610
167,123,62,1,448,609,2.141,2.792,0.73898,255,305,386,608
168,124,43,1,437,614,2.14,2.812,0.73898,240,307,394,613
169,125,43,1,443,622,2.138,2.832,0.73898,243,311,400,621
170,126,30,1,440,607,2.136,2.852,0.73898,235,304,410,606
171,127,27,4,425,617,2.134,2.871,0.74001,226,310,398,613
172,128,29,1,436,621,2.132,2.891,0.739495,232,311,407,620
173,129,25,1,423,629,2.13,2.911,0.73898,224,315,398,628
174,130,17,1,418,626,2.128,2.931,0.739495,217,313,401,625
175,131,3,1,409,626,2.126,2.951,0.74001,206,313,406,625
176,132,9,1,390,620,2.124,2.97,0.737948,199,310,381,619
177,133,5,1,387,626,2.122,2.99,0.739495,196,313,382,625
178,134,1,1,399,632,2.12,3.01,0.739495,200,316,398,631
179,135,1,2,393,629,2.119,3.03,0.739495,197,315,392,627
180,136,1,1,444,643,2.117,3.049,0.73898,222,322,443,642
181,137,67,2,491,634,2.115,3.07,0.739495,279,318,424,632
182,138,100,5,538,634,2.113,3.089,0.739495,319,319,438,629
183,139,117,2,537,641,2.111,3.109,0.73898,327,321,420,639
184,140,169,1,624,636,2.109,3.129,0.739495,396,318,455,635
185,141,217,1,643,635,2.107,3.149,0.73898,430,318,426,634
186,142,262,1,677,639,2.105,3.168,0.739495,469,320,415,638
187,143,287,2,693,642,2.103,3.188,0.74001,490,322,406,640
188,144,351,1,765,645,2.102,3.205,0.742065,558,323,414,644
189,145,389,1,775,650,2.1,3.22,0.746662,582,325,386,649
190,146,437,1,834,653,2.099,3.23,0.754246,635,327,397,652
191,147,473,1,867,654,2.098,3.238,0.760738,670,327,394,653
192,147,1,210,149,498,2.098,3.238,0.760738,75,354,148,288
193,148,490,1,906,664,2.097,3.243,0.766173,698,332,416,663
194,148,1,206,161,494,2.097,3.243,0.766173,81,350,160,288
195,149,515,2,922,662,2.096,3.245,0.771554,718,332,407,660
196,149,1,205,197,501,2.096,3.245,0.771554,99,353,196,296
197,150,1,208,186,496,2.096,3.246,0.775433,93,352,185,288
198,150,506,3,901,660,2.096,3.246,0.775433,703,331,395,657
199,151,1,211,194,496,2.096,3.246,0.781674,97,353,193,285
200,151,503,3,915,666,2.096,3.246,0.781674,709,334,412,663
201,152,1,208,190,498,2.096,3.246,0.787838,95,353,189,290
202,152,530,1,929,671,2.096,3.246,0.787838,729,336,399,670
203,153,1,207,190,499,2.096,3.246,0.792992,95,353,189,292
204,153,543,2,935,678,2.096,3.246,0.792992,739,340,392,676
205,154,1,200,177,495,2.096,3.246,0.799472,89,347,176,295
206,154,502,1,931,669,2.096,3.246,0.799472,716,335,429,668
207,155,1,202,186,504,2.096,3.246,0.804498,93,353,185,302
208,155,498,1,936,671,2.096,3.246,0.804498,717,336,438,670
209,156,1,199,184,500,2.096,3.246,0.810365,92,349,183,301
210,156,493,5,941,675,2.096,3.246,0.810365,717,340,448,670
211,157,2,200,164,503,2.096,3.246,0.81571,83,351,162,303
212,157,480,1,936,681,2.096,3.246,0.81571,708,341,456,680
213,158,1,201,151,491,2.096,3.248,0.818356,76,346,150,290
214,158,472,1,919,678,2.096,3.248,0.818356,695,339,447,677
215,159,1,197,155,501,2.094,3.253,0.819235,78,349,154,304
216,159,477,1,942,688,2.094,3.253,0.819235,709,344,465,687
217,160,1,196,158,499,2.091,3.26,0.819673,79,347,157,303
218,160,468,1,933,692,2.091,3.26,0.819673,700,346,465,691
219,161,1,201,137,503,2.087,3.272,0.819235,69,352,136,302
220,161,462,5,941,701,2.087,3.272,0.819235,701,353,479,696
221,162,1,198,135,505,2.082,3.286,0.820111,68,351,134,307
222,162,465,1,963,714,2.082,3.286,0.820111,714,357,498,713
223,163,1,204,139,508,2.076,3.302,0.819673,70,356,138,304
224,163,455,2,953,708,2.076,3.302,0.819673,704,355,498,706
225,164,1,205,153,505,2.069,3.321,0.819235,77,355,152,300
226,164,455,2,964,720,2.069,3.321,0.819235,709,361,509,718
227,165,1,207,158,511,2.061,3.34,0.819235,79,359,157,304
228,165,456,1,968,719,2.061,3.34,0.819235,712,360,512,718
229,166,1,204,134,526,2.055,3.358,0.818796,67,365,133,322
230,166,451,3,962,720,2.055,3.358,0.818796,706,361,511,717
231,167,1,213,122,517,2.048,3.377,0.819235,61,365,121,304
232,167,442,5,969,720,2.048,3.377,0.819235,705,362,527,715
233,168,1,215,131,519,2.041,3.396,0.819235,66,367,130,304
234,168,429,1,980,720,2.041,3.396,0.819235,704,360,551,719
235,169,430,1,974,720,2.034,3.414,0.819235,702,360,544,719
236,169,1,259,120,523,2.034,3.414,0.819235,60,391,119,264
237,170,421,2,973,720,2.027,3.433,0.819235,697,361,552,718
238,170,1,277,127,521,2.027,3.433,0.819235,64,399,126,244
239,171,422,1,993,720,2.02,3.452,0.819673,707,360,571,719
240,171,1,276,126,519,2.02,3.452,0.819673,63,397,125,243
241,172,416,1,992,720,2.013,3.471,0.819235,704,360,576,719
242,172,1,279,104,522,2.013,3.471,0.819235,52,400,103,243
243,173,439,2,1007,720,2.006,3.489,0.819235,723,361,568,718
244,173,1,274,121,516,2.006,3.489,0.819235,61,395,120,242
245,174,476,3,1029,720,2,3.508,0.819673,752,361,553,717
246,174,1,208,158,525,2,3.508,0.819673,79,366,157,317
247,175,519,3,1095,720,1.993,3.527,0.819235,807,361,576,717
248,175,1,200,196,527,1.993,3.527,0.819235,98,363,195,327
249,176,545,3,1149,720,1.986,3.545,0.819235,847,361,604,717
250,176,1,199,229,526,1.986,3.545,0.819235,115,362,228,327
251,177,2,205,250,519,1.979,3.564,0.819235,126,362,248,314
252,177,572,2,1172,720,1.979,3.564,0.819235,872,361,600,718
253,178,29,208,289,525,1.972,3.582,0.819235,159,366,260,317
254,178,607,4,1221,720,1.972,3.582,0.819235,914,362,614,716
255,179,70,209,329,526,1.965,3.601,0.819673,199,367,259,317
256,179,651,2,1279,720,1.965,3.601,0.819673,965,361,628,718
257,180,106,213,369,531,1.958,3.62,0.819235,237,372,263,318
258,180,714,2,1280,720,1.958,3.62,0.819235,997,361,566,718
259,181,156,217,418,540,1.951,3.639,0.819673,287,378,262,323
260,181,757,1,1280,720,1.951,3.639,0.819673,1018,360,523,719
261,182,200,220,452,524,1.944,3.657,0.819235,326,372,252,304
262,182,791,2,1277,720,1.944,3.657,0.819235,1034,361,486,718
263,183,,,,,1.937,3.676,0.819673,0,0,0,0
264,184,283,227,537,537,1.93,3.695,0.819235,410,382,254,310
265,184,858,5,1280,720,1.93,3.695,0.819235,1069,362,422,715
266,185,318,231,561,535,1.924,3.713,0.819673,439,383,243,304
267,186,351,234,601,535,1.917,3.732,0.819235,476,384,250,301
268,186,1,179,175,497,1.917,3.732,0.819235,88,338,174,318
269,187,343,234,590,540,1.91,3.751,0.820111,466,387,247,306
270,187,2,182,166,498,1.91,3.751,0.820111,84,340,164,316
271,188,350,230,596,537,1.903,3.77,0.819673,473,383,246,307
272,188,1,178,177,501,1.903,3.77,0.819673,89,339,176,323
273,189,343,223,588,519,1.896,3.788,0.819235,465,371,245,296
274,189,1,172,164,493,1.896,3.788,0.819235,82,332,163,321
275,190,342,230,579,522,1.89,3.804,0.821858,460,376,237,292
276,190,1,178,177,491,1.89,3.804,0.821858,89,334,176,313
277,191,,,,,1.885,3.818,0.825761,0,0,0,0
278,192,329,214,586,530,1.881,3.828,0.831754,457,372,257,316
279,192,1,161,153,496,1.881,3.828,0.831754,77,328,152,335
280,193,321,212,569,529,1.877,3.835,0.837234,445,370,248,317
281,193,1,155,143,493,1.877,3.835,0.837234,72,324,142,338
282,194,324,214,579,530,1.875,3.84,0.842218,451,372,255,316
283,194,1,161,134,491,1.875,3.84,0.842218,67,326,133,330
284,195,315,213,566,527,1.874,3.843,0.846318,440,370,251,314
285,195,1,163,133,490,1.874,3.843,0.846318,67,326,132,327
286,196,330,210,577,534,1.874,3.843,0.849966,453,372,247,324
287,196,1,161,137,500,1.874,3.843,0.849966,69,330,136,339
288,197,362,212,610,534,1.874,3.843,0.855163,486,373,248,322
289,197,1,162,184,496,1.874,3.843,0.855163,92,329,183,334
290,198,404,215,650,529,1.874,3.843,0.859885,527,372,246,314
291,198,29,163,218,499,1.874,3.843,0.859885,123,331,189,336
292,199,439,212,686,538,1.874,3.843,0.864535,562,375,247,326
293,199,75,169,265,499,1.874,3.843,0.864535,170,334,190,330
294,200,103,166,287,500,1.874,3.843,0.869491,195,333,184,334
295,200,466,218,717,540,1.874,3.843,0.869491,591,379,251,322
296,201,500,224,759,540,1.874,3.843,0.873988,629,382,259,316
297,201,144,173,344,509,1.874,3.843,0.873988,244,341,200,336
298,202,190,182,372,501,1.874,3.843,0.878778,281,341,182,319
299,202,541,226,780,547,1.874,3.843,0.878778,660,386,239,321
300,203,585,226,822,547,1.874,3.843,0.883122,703,386,237,321
301,203,238,187,413,510,1.874,3.843,0.883122,325,348,175,323
302,204,258,191,440,518,1.874,3.843,0.887744,349,354,182,327
303,204,606,229,840,551,1.874,3.843,0.887744,723,390,234,322
304,205,284,190,460,511,1.874,3.843,0.892278,372,350,176,321
305,205,626,219,881,560,1.874,3.843,0.892278,753,389,255,341
306,206,279,191,454,516,1.874,3.843,0.896045,366,353,175,325
307,206,624,231,879,558,1.874,3.843,0.896045,751,394,255,327
308,207,282,193,443,509,1.874,3.843,0.900749,362,351,161,316
309,207,623,230,878,557,1.874,3.843,0.900749,750,393,255,327
310,208,272,188,446,504,1.873,3.844,0.902403,359,346,174,316
311,208,623,226,879,545,1.873,3.844,0.902403,751,385,256,319
312,209,273,185,448,510,1.869,3.849,0.902733,360,347,175,325
313,209,618,218,872,541,1.869,3.849,0.902733,745,379,254,323
314,210,272,186,437,505,1.864,3.855,0.90339,354,345,165,319
315,210,618,215,872,548,1.864,3.855,0.90339,745,381,254,333
316,211,267,184,436,503,1.856,3.864,0.902733,351,343,169,319
317,211,615,215,866,546,1.856,3.864,0.902733,740,380,251,331
318,212,259,186,433,513,1.847,3.875,0.90339,346,349,174,327
319,212,615,219,874,554,1.847,3.875,0.90339,744,386,259,335
320,213,244,182,423,517,1.836,3.889,0.902733,333,349,179,335
321,213,610,214,861,562,1.836,3.889,0.902733,735,388,251,348
322,214,243,187,423,519,1.823,3.905,0.903062,333,353,180,332
323,214,603,221,871,571,1.823,3.905,0.903062,737,396,268,350
324,215,243,189,417,525,1.81,3.92,0.903062,330,357,174,336
325,215,605,218,854,577,1.81,3.92,0.903062,729,397,249,359
326,216,230,191,429,526,1.798,3.935,0.903062,329,358,199,335
327,216,597,232,872,582,1.798,3.935,0.903062,734,407,275,350
328,217,236,195,410,528,1.785,3.951,0.90339,323,361,174,333
329,217,601,234,873,580,1.785,3.951,0.90339,737,407,272,346
330,218,248,195,422,529,1.773,3.966,0.903062,335,362,174,334
331,218,608,235,883,589,1.773,3.966,0.903062,745,412,275,354
332,219,226,204,418,509,1.76,3.982,0.90339,322,356,192,305
333,219,584,243,875,564,1.76,3.982,0.90339,729,403,291,321
334,220,615,226,893,587,1.747,3.997,0.90339,754,406,278,361
335,220,231,182,444,535,1.747,3.997,0.90339,337,358,213,353
336,221,279,194,475,526,1.735,4.012,0.903062,377,360,196,332
337,221,658,226,936,586,1.735,4.012,0.903062,797,406,278,360
338,222,306,193,498,534,1.722,4.028,0.903062,402,363,192,341
339,222,690,224,965,596,1.722,4.028,0.903062,827,410,275,372
340,223,354,196,558,539,1.709,4.043,0.903062,456,367,204,343
341,223,738,226,1018,594,1.709,4.043,0.903062,878,410,280,368
342,224,342,199,548,543,1.697,4.058,0.903062,445,371,206,344
343,224,725,229,1003,595,1.697,4.058,0.903062,864,412,278,366
344,225,347,197,532,545,1.684,4.074,0.902733,439,371,185,348
345,225,721,227,1000,595,1.684,4.074,0.902733,860,411,279,368
346,226,355,212,542,555,1.671,4.089,0.90339,448,383,187,343
347,226,728,226,1008,608,1.671,4.089,0.90339,868,417,280,382
348,227,338,184,530,541,1.659,4.105,0.903062,434,362,192,357
349,227,719,221,1003,605,1.659,4.105,0.903062,861,413,284,384
350,228,351,196,527,541,1.646,4.12,0.903062,439,368,176,345
351,228,718,225,1021,603,1.646,4.12,0.903062,869,414,303,378
352,229,353,190,534,538,1.633,4.135,0.903062,443,364,181,348
353,229,731,222,1025,602,1.633,4.135,0.903062,878,412,294,380
354,230,331,198,527,550,1.621,4.151,0.903062,429,374,196,352
355,230,717,228,1019,608,1.621,4.151,0.903062,868,418,302,380
356,231,341,178,522,538,1.608,4.166,0.90339,431,358,181,360
357,231,720,207,1029,605,1.608,4.166,0.90339,874,406,309,398
358,232,326,185,526,545,1.596,4.181,0.903062,426,365,200,360
359,232,717,211,1022,610,1.596,4.181,0.903062,869,410,305,399
360,233,343,168,527,541,1.583,4.197,0.903062,435,354,184,373
361,233,727,209,1035,601,1.583,4.197,0.903062,881,405,308,392
362,234,329,181,520,548,1.57,4.212,0.903062,424,364,191,367
363,234,724,205,1028,605,1.57,4.212,0.903062,876,405,304,400
364,235,315,177,513,543,1.557,4.228,0.90339,414,360,198,366
365,235,722,195,1036,600,1.557,4.228,0.90339,879,397,314,405
366,236,315,174,511,541,1.546,4.241,0.905024,413,357,196,367
367,236,714,191,1023,608,1.546,4.241,0.905024,868,399,309,417
368,237,308,168,508,536,1.537,4.251,0.908251,408,352,200,368
369,237,716,185,1030,591,1.537,4.251,0.908251,873,388,314,406
370,238,316,162,520,533,1.53,4.259,0.912367,418,347,204,371
371,238,716,192,1029,596,1.53,4.259,0.912367,872,394,313,404
372,239,317,172,526,535,1.525,4.266,0.916699,421,353,209,363
373,239,715,192,1046,598,1.525,4.266,0.916699,880,395,331,406
374,240,299,163,500,537,1.521,4.269,0.920029,399,350,201,374
375,240,717,187,1036,611,1.521,4.269,0.920029,876,399,319,424
376,241,287,150,501,541,1.52,4.271,0.923,394,345,214,391
377,241,715,182,1039,608,1.52,4.271,0.923,877,395,324,426
378,242,290,148,501,541,1.519,4.271,0.926205,395,344,211,393
379,242,713,175,1053,612,1.519,4.271,0.926205,883,393,340,437
380,243,295,149,515,541,1.519,4.271,0.928779,405,345,220,392
381,243,719,177,1063,619,1.519,4.271,0.928779,891,398,344,442
382,244,289,141,501,545,1.519,4.271,0.932695,395,343,212,404
383,244,715,174,1058,614,1.519,4.271,0.932695,886,394,343,440
384,245,284,141,509,535,1.519,4.271,0.935967,396,338,225,394
385,245,715,169,1060,617,1.519,4.271,0.935967,887,393,345,448
386,246,274,145,497,533,1.519,4.271,0.939422,385,339,223,388
387,246,709,172,1053,605,1.519,4.271,0.939422,881,388,344,433
388,247,279,136,502,549,1.519,4.271,0.942529,390,342,223,413
389,247,711,164,1069,623,1.519,4.271,0.942529,890,393,358,459
390,248,264,136,491,548,1.519,4.271,0.945805,377,342,227,412
391,248,701,160,1065,618,1.519,4.271,0.945805,883,389,364,458
392,249,269,133,483,545,1.519,4.271,0.948988,376,339,214,412
393,249,715,156,1072,619,1.519,4.271,0.948988,893,387,357,463
394,250,261,130,479,544,1.519,4.271,0.951842,370,337,218,414
395,250,706,157,1064,627,1.519,4.271,0.951842,885,392,358,470
396,251,258,147,478,549,1.519,4.271,0.954844,368,348,220,402
397,251,706,165,1067,642,1.519,4.271,0.954844,886,403,361,477
398,252,252,132,471,548,1.519,4.271,0.957531,361,340,219,416
399,252,700,155,1060,642,1.519,4.271,0.957531,880,398,360,487
400,253,241,126,471,551,1.519,4.271,0.960138,356,338,230,425
401,253,704,154,1069,635,1.519,4.271,0.960138,886,394,365,481
402,254,237,121,478,562,1.519,4.271,0.96287,357,341,241,441
403,254,712,148,1088,643,1.519,4.271,0.96287,900,395,376,495
404,255,232,119,474,555,1.519,4.271,0.965308,353,337,242,436
405,255,716,141,1089,641,1.519,4.271,0.965308,902,391,373,500
406,256,231,117,466,562,1.519,4.271,0.967857,348,339,235,445
407,256,708,133,1086,639,1.519,4.271,0.967857,897,386,378,506
408,257,228,118,457,567,1.519,4.271,0.970125,342,342,229,449
409,257,703,134,1097,649,1.519,4.271,0.970125,900,391,394,515
410,258,207,107,446,555,1.519,4.271,0.97249,326,331,239,448
411,258,694,134,1072,648,1.519,4.271,0.97249,883,391,378,514
412,259,215,119,461,574,1.519,4.271,0.974587,338,346,246,455
413,259,715,137,1092,651,1.519,4.271,0.974587,903,394,377,514
414,260,215,100,451,575,1.519,4.271,0.976602,333,337,236,475
415,260,699,129,1102,661,1.519,4.271,0.976602,900,395,403,532
